,0,1,2
518,287766,인천 어진마을점,"인천 남동구 논현로 106 (논현동, 어진마을 한화 꿈에그린)"
519,287767,인천 신기점,인천 미추홀구 인하로257번길 29-1 (주안동)
520,287768,인천 스마트해법수학선학초점,인천 연수구 선학동 355
521,287769,인천 스마트해법수학서창점,인천 남동구 서창남로 16-34
522,287770,인천 스마트해법수학문학초점,인천 미추홀구 매소홀로 556-1 (문학동)
523,287771,인천 스마트해법수학도화초점,인천 미추홀구 경인로 234 (도화동)
524,287772,인천 스마트해법관교한신점,"인천 미추홀구 인하로352번길 11-12 (주안동, 인천관교 한신휴플러스)"
525,287773,인천 송현해법점,인천 동구 수문통로 45-1 (송현동)
526,287774,인천 송도호반3차점,"인천 연수구 랜드마크로 110 (송도동, 호반베르디움 EDU CITY)"
527,287775,인천 송도호반1차점,"인천 연수구 송도문화로84번길 84 (송도동, 베르디움 더퍼스트)"
528,287776,인천 송도풍림1단지점,"인천 연수구 신송로125번길 7 (송도동, 이리옴프라자)"
529,287777,인천 송도퍼스트파크점,"인천 연수구 컨벤시아대로252번길 30 (송도동, 송도 더샵 퍼스트파크 F15BL)"
530,287778,인천 송도웰카운티점,"인천 연수구 해송로30번길 19 (송도동, 웰카운티송도3단지)"
531,287779,인천 송도아트윈푸르지오점,"인천 연수구 인천타워대로 253-25 (송도동, 아트윈 푸르지오)"
532,287780,인천 송도센트럴시티점,"인천 연수구 송도국제대로 261 (송도동, 송도 더샵 센트럴시티)"
533,287781,인천 송도마스터뷰점,"인천 연수구 컨벤시아대로274번길 15 (송도동, 송도더샵마스터뷰)"
534,287782,인천 송도마리나베이점,인천 연수구 랜드마크로 160 (송도동)
535,287783,인천 송도글로벌푸르지오점,"인천 연수구 송도문화로28번길 28 (송도동, 송도글로벌캠퍼스푸르지오)"
536,287784,인천 송도e편한세상점,"인천 연수구 랜드마크로 113 (송도동, e편한세상 송도)"
537,287785,인천 서창 센트럴푸르지오점,"인천 남동구 서창남순환로 55 (서창동, 서창센트럴푸르지오)"
538,287786,인천 서구석남점,인천 서구 석남동 555-18
539,287787,인천 산곡푸르지오점,"인천 부평구 안남로 269 (산곡동, 부평산곡푸르지오아파트)"
540,287788,인천 산곡경남5차점,"인천 부평구 마장로264번길 66 (산곡동, 경남5차아파트)"
541,287789,인천 불로월드점,"인천 서구 검단로 836 (불로동, 월드아파트)"
542,287790,인천 부흥초점,인천 부평구 부흥로366번길 39 (부평동)
543,287791,인천 부평코오롱하늘채점,"인천 부평구 동수천로 132 (부개동, 부개빌딩)"
544,287792,인천 부평청천푸르지오점,인천 부평구 세월천로 16
545,287793,인천 부평청천금호점,"인천 부평구 안남로 272 (청천동, 부평1차 금호타운)"
546,287794,인천 부평산곡경남3차점,인천 부평구 마장로272번길 89
547,287795,인천 부평두산위브더파크점,인천 부평구 마곡로 14
548,287796,인천 부평동아1점,"인천 부평구 부평문화로 37 (부평동, 부평동아아파트)"
549,287797,인천 부평대림점,"인천 부평구 부영로 196 (부평동, 대림아파트)"
550,287798,인천 부개한국점,"인천 부평구 동수로120번길 11 (부개동, 한국아파트)"
551,287799,인천 부개서초점,인천 부평구 수변로 60-1 (부개동)
552,287800,인천 부개비전점,"인천 부평구 동수로 140 (부개동, 비전교회)"
553,287801,인천 미송초점,"인천 연수구 랜드마크로 160 (송도동, 더샵 송도 마리나베이)"
554,287802,인천 만수주공4점,인천 남동구 백범로124번길 162 (만수동)
555,287803,인천 만수벽산1호점,"인천 남동구 호구포로 924 (만수동, 햇빛마을벽산아파트)"
556,287804,인천 만석비치점,"인천 동구 화도진로 187 (만석동, 만석비치타운 주공아파트)"
557,287805,인천 마전초점,"인천 서구 완정로34번길 20 (마전동, 동아아파트)"
558,287806,인천 마전검단아이파크점,"인천 서구 완정로92번길 28 (마전동, 검단아이파크아파트)"
559,287807,인천 루원시티프라디움점,인천 서구 봉오재3로 66
560,287808,인천 루원센트럴타운점,"인천 서구 봉오재1로 36 (신현동, 엘에이치루원시티센트럴타운)"
561,287809,인천 루원대성베르힐점,"인천 서구 봉오재1로 15 (신현동, 루원시티 대성베르힐)"
562,287810,인천 루원가원초점,인천 서구 봉오재3로 40 (가정동)
563,287811,인천 루원SK2차점,인천 서구 봉오대로 270
564,287812,인천 루원SK1차점,"인천 서구 가정로 437 (가정동, 루원시티 SK Leaders VIEW)"
565,287813,인천 롯데캐슬캠퍼스타운점,"인천 연수구 송도과학로27번길 55 (송도동, 롯데캐슬 캠퍼스타운)"
566,287814,인천 동춘해법점,"인천 연수구 원인재로 124 (동춘동, 한양1차아파트)"
567,287815,인천 더월드스테이트점,"인천 미추홀구 경원대로 884 (주안동, 주안더월드스테이트)"
568,287816,인천 더샵부평센트럴시티124동점,인천 부평구 십정동 216
569,287817,인천 대정초점,"인천 부평구 화랑남로 13 (산곡동, 현대프라자)"
570,287818,인천 논현한화12단지점,"인천 남동구 논고개로 10 (논현동, 에코메트로12단지한화꿈에그린아파트)"
571,287819,인천 논현주공2점,"인천 남동구 함박뫼로 437 (논현동, 논현주공2단지아파트 상가)"
572,287820,인천 논현에코6단지점,"인천 남동구 아암대로1503번길 102 (논현동, 에코메트로6단지상가)"
573,287821,인천 논현에코10단지점,"인천 남동구 아암대로1503번길 21 (논현동, 에코메트로10단지한화꿈에그린아파트)"
574,287822,인천 구월힐스테이트점,"인천 남동구 구월로 192 (구월동, 힐스테이트롯데캐슬골드1단지아파트)"
575,287823,인천 계양효성서초점,"인천 계양구 봉오대로477번길 19 (효성동, 태산아파트)"
576,287824,인천 계양화전초점,인천 계양구 작전동 175-2
577,287825,인천 계양캠퍼스점,인천 계양구 계산동 1083-4
578,287826,인천 계양부현초점,인천 계양구 장제로755번길 30-2
579,287827,인천 계양부평초점,인천 계양구 경명대로 1074
580,287828,인천 계양명현초점,인천 계양구 봉오대로569번길 13 (효성동)
581,287829,인천 검암루시아빌점,인천 서구 검암동 642-1
582,287830,인천 검암2점,"인천 서구 검암로10번길 39 (검암동, 풍림아이원3차아파트)"
583,287831,인천 검단호반써밋프라임뷰점,인천 서구 이음2로 70
584,287832,인천 검단호반써밋1차점,"인천 서구 이음5로 15 (원당동, 호반써밋 1차)"
585,287833,인천 검단초점,서울 강서구 양천로75길 22-10
586,287834,인천 검단신안인스빌점,"인천 서구 이음1로 173 (당하동, 신안인스빌 어반퍼스트)"
587,287835,인천 갈산2동점,인천 부평구 굴포로 42 (갈산동)
588,287836,인천 간석우성점,"인천 남동구 방축로 501 (간석동, 우성아파트)"
589,287837,인천 가좌한신점,"인천 서구 건지로 402 (가좌동, 가좌한신휴플러스)"
590,287838,인천 가정신현점,인천 서구 가정로 345 (신현동)
591,287839,이플러스영수학원,경기 안산시 상록구 사동 1191-10
592,287840,이천마장초교점,"경기 이천시 마장면 중앙로 35 (오천리, 호반베르디움 2차)"
593,287841,이천 한내초교점,경기 이천시 갈산로 47
594,287842,이천 증포초교점,경기 이천시 이섭대천로 1411
595,287843,이천 증포대우점,"경기 이천시 이섭대천로 1427 (증포동, 이천증포대우1차아파트)"
596,287844,이천 장호진성점,경기 이천시 장호원읍 장감로49번길 5 (장호원리)
597,287845,이천 장호원점,경기 이천시 장호원읍 장호원리 145-19
598,287846,이천 안흥점,경기 이천시 영창로 306 (갈산동)
599,287847,이천 아미초교점,"경기 이천시 부발읍 신아로92번길 74-21 (아미리, 아미리7차현대아파트)"
600,287848,이천 신하세종점,"경기 이천시 부발읍 경충대로 2216-31 (신하리, 신한아파트)"
601,287849,이천 송정점,경기 이천시 증신로291번길 133 (송정동)
602,287850,이천 부발초교점,"경기 이천시 부발읍 무촌로 139 (무촌리, 부발프라자)"
603,287851,이천 동그라미점,경기 이천시 부발읍 신하1리 유승아파트
604,287852,이천 대월아이파크점,"경기 이천시 대월면 경충대로2041번길 167 (사동리, 현대아이파크)"
605,287853,의정부역센트럴자이점,경기 의정부시 경의로 130
606,287854,의정부 회룡초교점,"경기 의정부시 안말로 88 (호원동, 5차우성아파트)"
607,287855,의정부 호원초교점,"경기 의정부시 신흥로 57-14 (호원동, 호원동한승미메이드아파트)"
608,287856,의정부 호원신원점,"경기 의정부시 회룡로105번길 37 (호원동, 신원아파트)"
609,287857,의정부 한울에듀해법수학,"경기 의정부시 호동로 67 (호원동, 화성프라자)"
610,287858,의정부 한라비발디점,"경기 의정부시 오목로 73 (민락동, 한라비발디아파트)"
611,287859,의정부 탑석자이점,"경기 의정부시 용민로 10 (용현동, 탑석센트럴자이)"
612,287860,의정부 중앙초교점,경기 의정부시 의정부동 227-37
613,287861,의정부 위더스해법수학,경기 의정부시 송양로 29 (낙양동)
614,287862,의정부 우미린해법수학점,경기 의정부시 민락동 888
615,287863,의정부 신곡한일유앤아이점,"경기 의정부시 시민로 256 (신곡동, 한일유앤아이아파트)"
616,287864,의정부 신곡은하수점,"경기 의정부시 추동로 12 (신곡동, 신곡은하수아파트)"
617,287865,의정부 신곡동 e편한세상포레스타뷰점,"경기 의정부시 금신로 276 (신곡동, e편한세상 신곡 포레스타뷰)"
618,287866,의정부 스마트해법수학신동학원점,경기 의정부시 신곡동 566-41
619,287867,의정부 스마트해법수학가능교실,경기 의정부시 가능동 619
620,287868,의정부 송산초해법수학점,경기 의정부시 민락로 211 (민락동)
621,287869,의정부 민락신안점,"경기 의정부시 용현로 155 (민락동, 산들마을길훈,신안,현대아파트)"
622,287870,의정부 민락센트럴점,"경기 의정부시 송양로 75 (민락동, 민락센트럴)"
623,287871,의정부 녹양힐스테이트2점,경기 의정부시 녹양동 355
624,287872,의정부 금강e해법수학점,"경기 의정부시 용민로 263 (낙양동, 금강펜테리움)"
625,287873,의정부 고산해법수학점,"경기 의정부시 월유로 13 (산곡동, 지석프라자)"
626,287874,의정부 고산한신더휴점,"경기 의정부시 입암로 13 (고산동, 한신더휴고산NHF)"
627,287875,의정부 고래e해법수학점,"경기 의정부시 추동로124번길 36 (신곡동, 새말빌딩)"
628,287876,의정부 가능초교점,경기 의정부시 가능동 663-21
629,287877,의정부 e편한세상1차점,"경기 의정부시 시민로 287 (신곡동, e편한세상 신곡 파크비스타)"
630,287878,의왕파크푸르지오점,"경기 의왕시 장안중앙로 42 (삼동, 의왕파크푸르지오)"
631,287879,의왕숲속마을점,"경기 의왕시 봇들로 40 (포일동, 포일프라자)"
632,287880,의왕삼동점,"경기 의왕시 부곡복지관길 27 (삼동, 장미아파트)"
633,287881,의왕모락산현대점,"경기 의왕시 원골로 39 (오전동, 모락산현대아파트 상가1)"
634,287882,의왕모락산현대1호점,경기 의왕시 원골로 39
635,287883,의왕 청계점,"경기 의왕시 안양판교로 211 (청계동, 세종메디칼프라자)"
636,287884,의왕 인덕원센트럴자이점,"경기 의왕시 내손로 13 (내손동, 인덕원 센트럴 자이)"
637,287885,의왕 오전점,"경기 의왕시 오전로 156 (오전동, 동백아파트 상가)"
638,287886,의왕 오전동백점,"경기 의왕시 오전로 150 (오전동, 동백아파트)"
639,287887,의왕 삼호한아름점,경기 의왕시 까치골1길 39 (삼동)
640,287888,의왕 백운밸리효성점,"경기 의왕시 백운중앙로 46 (학의동, 효성해링턴플레이스 1단지)"
641,287889,의왕 모락점,"경기 의왕시 모락로 89-19 (오전동, 해모로 상가)"
642,287890,의왕 내손점,"경기 의왕시 포일로 81 (포일동, 삼우상가)"
643,287891,의왕 내손삼성래미안점,"경기 의왕시 포일로 43 (내손동, 대림프라자)"
644,287892,의왕 내손백운1호점,경기 의왕시 내손순환로 24 (내손동)
645,287893,의왕 갈뫼점,"경기 의왕시 갈미2로 18 (내손동, 삼대프라자)"
646,287894,의왕 갈뫼1호점,경기 의왕시 갈미2로 18
647,287895,은평지사직영점,서울 은평구 갈현로33길 21
648,287896,은평증산점,"서울 은평구 증산로 271 (증산동, 이노럭스빌)"
649,287897,은평신도초점,"서울 은평구 진관2로 77 (진관동, 은평뉴타운우물골)"
650,287898,은평스마트해법진강남학원,서울 은평구 서오릉로17길 13-11 (구산동)
651,287899,은평스마트해법응암캠퍼스,서울 은평구 응암로 211 (응암동)
652,287900,은평상신2호점,서울 은평구 신사동 18-24
653,287901,은평불광미성점,서울 은평구 불광동 248
654,287902,은평 탁틴학원점,"서울 은평구 통일로 796 (불광동, 북한산 힐스테이트7차)"
655,287903,은평 은평초교점,서울 은평구 은평로 221-1 (녹번동)
656,287904,은평 유클리드스마트해법점,"서울 은평구 진관3로 15-35 (진관동, 은평뉴타운 구파발)"
657,287905,은평 역촌천사점,서울 은평구 역촌동 219-8
658,287906,은평 신사초점,서울 은평구 가좌로 280 (신사동)
659,287907,은평 신사상신점,서울 은평구 신사동 41-21
660,287908,은평 스마트해법은진초점,"서울 은평구 진관1로 21-10 (진관동, 은평뉴타운 박석고개)"
661,287909,은평 스마트해법수학역촌초점,서울 은평구 은평로3길 24
662,287910,은평 스마트해법수학 예일점,서울 은평구 연서로16길 4-1 (역촌동)
663,287911,은평 스마트해법수색대림점,"서울 은평구 은평터널로 65 (수색동, 대림한숲타운아파트)"
664,287912,은평 수학하기좋은날점,서울 은평구 불광동 145-2
665,287913,은평 불광초점,서울 은평구 불광동 600-3
666,287914,은평 뉴타운아이파크점,서울 은평구 진관동 12
667,287915,원주 현진에버빌4차점,"강원 원주시 시청로 494 (관설동, 현진에버빌4차아파트)"
668,287916,원주 풍경채점,강원 원주시 봉바위길 68 (무실동)
669,287917,원주 푸른숨10단지점,강원 원주시 혁신로 350-1 (반곡동)
670,287918,원주 평원캠퍼스점,강원 원주시 평원초교길 8 (단계동)
671,287919,원주 태장주공3단지점,"강원 원주시 흥양로51번길 16-1 (태장동, 태장주공3단지아파트)"
672,287920,원주 태일점,강원 원주시 보수골길 45 (태장동)
673,287921,원주 태봉초교점,"강원 원주시 흥양로51번길 20 (태장동, 원주태장4주공아파트)"
674,287922,원주 우산점,"강원 원주시 진광길 24-7 (우산동, 동보렉스아파트(1차))"
675,287923,원주 수학직영,강원 원주시 오리현길 57 (반곡동)
676,287924,원주 서원주점,강원 원주시 남원로469번길 25-39 (명륜동)
677,287925,원주 봉대캠퍼스점,강원 원주시 양지로 160-2 (반곡동)
678,287926,원주 버들초교점,강원 원주시 입춘로 73 (반곡동)
679,287927,원주 반곡점,강원특별자치도 원주시 오리현길 57
680,287928,원주 반곡아이파크점,"강원 원주시 늘품로 199 (반곡동, 원주반곡아이파크)"
681,287929,원주 반곡벽산블루밍점,"강원 원주시 반곡길 48 (반곡동, 반곡벽산블루밍1차아파트)"
682,287930,원주 무실휴먼시아6단지점,"강원 원주시 만대로 119 (무실동, 원주무실6단지휴먼시아)"
683,287931,원주 무실캠퍼스점,강원 원주시 만대로 165 (무실동)
684,287932,원주 무실요진점,"강원 원주시 시청로 66 (무실동, 요진보네르카운티 상가)"
685,287933,원주 무실솔샘점,"강원 원주시 무실로 380 (무실동, 사랑으로부영아파트)"
686,287934,원주 무실뜨란채점,"강원 원주시 시청로 90 (무실동, 뜨란채아파트)"
687,287935,원주 무실 세영점,"강원 원주시 무실로 415 (무실동, 세영리첼2차아파트)"
688,287936,"원주 단구현진5,6차점",강원 원주시 단구동 1671-7
689,287937,원주 단구 한신더휴 점,강원 원주시 단구로 250 (단구동)
690,287938,원주 단계캠퍼스점,강원 원주시 원문로100번길 40 (단계동)
691,287939,원주 남원주1점,강원 원주시 구곡길 10-27 (단구동)
692,287940,원주 기업롯데1차점,"강원 원주시 지정면 가곡로 50-1 (가곡리, 롯데캐슬 더퍼스트 아파트 상가동)"
693,287941,원주 기업도시점,강원 원주시 지정면 신지정로 266 (가곡리)
694,287942,울주 덕하유림점,울산 울주군 청량읍 덕정1길 7 (덕하리)
695,287943,울산 화봉휴먼시아점,울산 북구 화봉동 1467
696,287944,울산 해롬수학교습소,울산 남구 남중로 124
697,287945,울산 장현최상위점,울산 중구 종가29길 1 (장현동)
698,287946,울산 울주명지초점,"울산 울주군 범서읍 점촌4길 25 (구영리, 일신파크맨션)"
699,287947,울산 염포초점,울산 북구 염포동 184-11
700,287948,울산 신정초점,"울산 남구 봉월로67번길 11-1 (신정동, 향수아파트)"
701,287949,울산 신정점,울산 남구 팔등로 67 (신정동)
702,287950,울산 스마트해법수학동서학원점,울산 북구 중산서로 18 (중산동)
703,287951,울산 삼호영수학원점,울산 남구 삼호로 35-1 (무거동)
704,287952,울산 북구현대글로리아점,"울산 북구 이화5길 23 (중산동, 현대글로리아)"
705,287953,울산 병영초교실,울산 중구 병영성8길 6 (서동)
706,287954,울산 명촌초점,"울산 북구 명촌7길 40 (명촌동, 마로니에)"
707,287955,울산 매곡점,울산 북구 매곡1로 46 (매곡동)
708,287956,울산 다운해법영수학원점,울산 중구 다운로 105 (다운동)
709,287957,울산 강남초점,울산 남구 중앙로128번길 25
710,287958,우아동신초점,전북 전주시 덕진구 우아로 32 (우아동3가)
711,287959,우림 2차 델타브이점,"충북 청주시 청원구 오창읍 오창중앙로 65 (각리, 우림필유2차아파트)"
712,287960,용해초점,전남 목포시 포미로9번길 3 (용해동)
713,287961,용인 흥덕8단지점,"경기 용인시 기흥구 흥덕2로118번길 25 (영덕동, 흥덕마을8단지 한국 아델리움)"
714,287962,용인 한숲시티4블록점,"경기 용인시 처인구 남사면 한숲로 124 (완장리, e편한세상 용인 한숲시티)"
715,287963,용인 한숲5블럭점,"경기 용인시 처인구 남사면 한숲로 84 (완장리, e편한세상 용인 한숲시티)"
716,287964,용인 한숲5블럭우등생수학점,"경기 용인시 처인구 남사면 한숲로 83 (아곡리, e편한세상 용인 한숲시티)"
717,287965,용인 피렌체3차점,"경기 용인시 처인구 한터로152번길 62 (고림동, 예진마을인정피렌체빌리지III아파트)"
718,287966,용인 풍덕삼성4차점,"경기 용인시 수지구 수풍로 90 (풍덕천동, 수지4차 삼성래미안)"
719,287967,용인 청덕탑수학,경기 용인시 기흥구 중부대로788번길 15
720,287968,용인 청덕에듀점,경기 용인시 기흥구 구성로 470
721,287969,용인 처인삼가늘푸른점,"경기 용인시 처인구 중부대로1158번길 22 (삼가동, 행정타운늘푸른오스카빌아파트)"
722,287970,용인 진산 스마트해법수학점,경기 용인시 수지구 진산로 26
723,287971,용인 중동점,"경기 용인시 기흥구 동백중앙로 175 (중동, 우함빌딩)"
724,287972,용인 죽전퍼스트점,경기 용인시 수지구 죽전동 488
725,287973,용인 죽전내대지점,"경기 용인시 수지구 현암로 154 (죽전동, 거풍프라자)"
726,287974,용인 인정프린스점,"경기 용인시 처인구 금어로 2 (유방동, 인정레포츠센타)"
727,287975,용인 이룸스마트해법수학아카데미,경기 용인시 처인구 경안천로 196-1
728,287976,용인 역북점,경기 용인시 처인구 용문로 64-1 (역북동)
729,287977,용인 역북CL점,경기 용인시 처인구 명지로40번길 15-15 (역북동)
730,287978,용인 에브라임학원,"경기 용인시 기흥구 덕영대로2077번길 33 (영덕동, 용인기흥효성해링턴플레이스)"
731,287979,용인 어정아이파크점,"경기 용인시 기흥구 언동로217번길 7 (중동, 어정마을동백아이파크아파트)"
732,287980,용인 신봉자이1차점,"경기 용인시 수지구 신봉2로 30 (신봉동, 미래상가)"
733,287981,용인 신봉우남점,경기 용인시 수지구 신봉동 905
734,287982,용인 신봉신리초점,"경기 용인시 수지구 신봉1로48번길 11 (신봉동, 뉴골드프라자)"
735,287983,용인 신봉센트럴점,"경기 용인시 수지구 신봉2로 2 (신봉동, 센트럴500)"
736,287984,용인 신동백서해2차점,경기 용인시 기흥구 중동 1139
737,287985,용인 스마트해법수학 흥덕7단지점,"경기 용인시 기흥구 흥덕2로 125 (영덕동, 흥덕마을 힐스테이트)"
738,287986,용인 스마트해법수학 역북초아카데미,"경기 용인시 처인구 중부대로 1352 (김량장동, 수빌딩)"
739,287987,용인 스마트해법수학 상현점,경기 용인시 수지구 상현동 850
740,287988,용인 스마트해법수학 기흥고매점,"경기 용인시 기흥구 고매로34번길 10 (고매동, 매화마을우남퍼스트빌아파트)"
741,287989,용인 수지신봉효성점,"경기 용인시 수지구 신봉1로 28 (신봉동, 서홍마을효성화운트빌아파트)"
742,287990,용인 수지신봉학원,"경기 용인시 수지구 신봉3로 1 (신봉동, 진성프라자2)"
743,287991,용인 수지서원현대점,"경기 용인시 수지구 포은대로 219 (상현동, 서원마을3단지아이파크아파트)"
744,287992,용인 수지삼성2차점,"경기도 용인시 수지구 수풍로 38 (풍덕천동, 삼성2차아파트)"
745,287993,용인 성복효자초점,"경기 용인시 수지구 성복1로 106 (성복동, 벽산프라자)"
746,287994,용인 성복롯데캐슬골드타운점,"경기 용인시 수지구 성복2로 10 (성복동, 성복역롯데캐슬골드타운)"
747,287995,용인 성복데이파크점,"경기 용인시 수지구 수지로113번길 16 (성복동, 성동마을 강남빌리지)"
748,287996,용인 성복경남1단지점,"경기도 용인시 수지구 성복1로 157 (성복동, 버들치마을경남아"
749,287997,용인 상현상떼빌점,"경기 용인시 수지구 상현로 30-10 (상현동, 광교상떼빌파크뷰)"
750,287998,용인 상현LG자이점,"경기 용인시 수지구 만현로133번길 35 (상현동, 만현마을9단지엘지자이아파트)"
751,287999,용인 삼풍동점,경기 용인시 수지구 문인로 57 (풍덕천동)
752,288000,용인 보정동아솔레시티점,"경기 용인시 기흥구 보정로 30 (보정동, 행원마을동아솔레시티아파트)"
753,288001,용인 메꾸는 포레스트점,경기 용인시 처인구 역북동 233
754,288002,용인 마북프라자점,"경기 용인시 기흥구 마북로154번길 12 (마북동, 마북프라자)"
755,288003,용인 둔전점,경기 용인시 처인구 포곡읍 포곡로108번길 16
756,288004,용인 두산제니스A점,"경기 용인시 기흥구 동백죽전대로 509 (동백동, 용인동백두산위브더제니스)"
757,288005,용인 동천초점,경기 용인시 수지구 고기로 91 (동천동)
758,288006,용인 동천더샵이스트포레점,"경기 용인시 수지구 수풍로 89 (동천동, 더샵 동천 이스트포레)"
759,288007,용인 동천 스마트해법수학 교습소,경기 용인시 수지구 동천로 68
760,288008,용인 동일2차점,경기 용인시 기흥구 언남동 496
761,288009,용인 동백호수데시앙점,"경기 용인시 기흥구 동백8로 11 (동백동, 호수마을자연&데시앙아파트)"
762,288010,용인 동백신영지웰점,"경기 용인시 기흥구 동백5로 39 (중동, 성산마을신영지웰아파트)"
763,288011,용인 동백동원로얄점,"경기 용인시 기흥구 동백죽전대로 455-17 (동백동, 동원로얄듀크아파트)"
764,288012,용인 김량장현대점,"경기 용인시 처인구 백옥대로1068번길 10 (김량장동, 현대아파트)"
765,288013,용인 기흥성호샤인힐즈점,"경기 용인시 기흥구 이현로29번길 72-42 (보정동, 성호샤인힐즈아파트)"
766,288014,용인 구성강남한라점,"경기 용인시 기흥구 강남동로 126 (상하동, 강남마을한라비발디아파트)"
767,288015,용인 구갈강남7단지점,"경기 용인시 기흥구 강남동로 54 (구갈동, 강남마을7단지계룡리슈빌아파트)"
768,288016,용인 광교마을45단지점,"경기 용인시 수지구 광교마을로 11 (상현동, 광교마을45단지)"
769,288017,용인 강남마을점,경기 용인시 기흥구 강남동로 21 (구갈동)
770,288018,용인 갈곡초점,"경기 용인시 기흥구 강남동로 54 (구갈동, 강남마을7단지계룡리슈빌아파트)"
771,288019,용산 이촌라임점,서울 용산구 이촌동 300-322
772,288020,용산 이룸에듀학원점,"서울 용산구 원효로 51 (산천동, 삼성테마트)"
773,288021,용산 문배이안점,서울 용산구 문배동 3-3
774,288022,용산 도원삼성점,서울 용산구 도원동 28
775,288023,옥정 천보초대방2차점,경기 양주시 옥정동 950-1
776,288024,옥정 제이드웰해법수학점,경기 양주시 옥정동로 106 (옥정동)
777,288025,오산시티자이2단지점,"경기 오산시 부산중앙로 12 (부산동, 오산시티자이 2단지)"
778,288026,오산4단지점,경기 오산시 수청로 209
779,288027,오산 청호자이점,"경기 오산시 동부대로 332-14 (청호동, 오산자이아파트)"
780,288028,오산 이편한2차대림점,"경기 오산시 오산로132번길 8 (원동, 원동이편한세상2단지)"
781,288029,오산 원동초점,"경기 오산시 오산로 91-5 (갈곶동, 한솔솔파크)"
782,288030,오산 원동 대림점,"경기 오산시 오산로160번길 11 (원동, 원동프라자)"
783,288031,오산 운천점,경기 오산시 부산동 778-8
784,288032,오산 운암3단지점,"경기 오산시 운암로 90 (부산동, 오산운암3단지 주공아파트)"
785,288033,오산 운암2단지점,"경기 오산시 운암로 89 (오산동, 오산운암2단지 주공아파트)"
786,288034,오산 에브라임1점,"경기 오산시 부원로 67-3 (원동, 경희대엄지체육관)"
787,288035,오산 양산효성점,"경기 오산시 양산로 422 (양산동, 오산세마 효성백년가약)"
788,288036,오산 세교 1단지점,"경기 오산시 수목원로 615 (세교동, 잔다리마을1단지아파트)"
789,288037,오산 더샵파크시티점,경기 오산시 문시로 183-4 (외삼미동)
790,288038,오산 대동점,"경기 오산시 운암로 64 (오산동, 운암 대동 황토방 아파트)"
791,288039,오산 다온초점,경기 오산시 부산동 815
792,288040,오산 고현현대점,경기 오산시 남부대로 430-7 (고현동)
793,288041,오류초점,서울 구로구 천왕동 277-9
794,288042,오룡행복초점,"전남 무안군 일로읍 오룡번영로 153 (오룡리, 호반써밋 남악오룡 2차)"
795,288043,예일탑등촌점,서울 양천구 등촌로 180 (목동)
796,288044,예닮교실,경북 안동시 노하길 397-10 (송현동)
797,288045,영천 지낭학원점,경북 영천시 야사2길 11 (야사동)
798,288046,영천 수학의봄,경북 영천시 중앙동3길 20 (문외동)
799,288047,영주 하이클래스점,"경북 영주시 번영로102번길 41 (하망동, 잉글리쉬아일랜드)"
800,288048,영주 하이클래스가흥초점,"경북 영주시 번영로102번길 41 (하망동, 잉글리쉬아일랜드)"
801,288049,영주 풍기교실점,"경북 영주시 풍기읍 기주로 108-1 (성내리, 문구)"
802,288050,영주 청구교실점,"경북 영주시 영주로 334 (하망동, 청구하이츠)"
803,288051,영주 천재점,경북 영주시 영주동 553-9
804,288052,영주 이룸학원점,경북 영주시 원당로179번길 47 (하망동)
805,288053,영주 남산1호점,"경북 영주시 번영로 50 (휴천동, 해법수학)"
806,288054,영주 가흥코아루노블점,"경북 영주시 대학로261번길 27 (가흥동, 영주가흥코아루노블아파트)"
807,288055,영산초점,전남 목포시 남악2로9번길 14-9 (옥암동)
808,288056,영등포 현대2차점,"서울 영등포구 도신로4길 2 (대림동, 현대2차아파트)"
809,288057,영등포 한마음점,서울 영등포구 가마산로61가길 8 (신길동)
810,288058,영등포 푸르지오점,서울 영등포구 도신로29길 10 (도림동)
811,288059,영등포 조이,서울 영등포구 선유로9길 30 (문래동6가)
812,288060,영등포 수학자신감,"서울 영등포구 여의대방로35가길 19 (신길동, 보라매 SK VIEW)"
813,288061,영등포 문래미원점,"서울 영등포구 문래로 38 (문래동6가, 문래동미원아파트)"
814,288062,영등포 문래두산위브점,"서울 영등포구 선유로9나길 8 (문래동5가, 문래 두산위브)"
815,288063,영등포 도림점,"서울 영등포구 도신로 63 (도림동, 태원빌딩)"
816,288064,영등포 대림해법학원점,"서울 영등포구 대림로8길 39 (대림동, 대성빌딩)"
817,288065,영등포 대림3동점,서울 영등포구 대림로34길 15 (대림동)
818,288066,영등포 당산리더스해법점,서울 영등포구 당산동 121-12
819,288067,영덕 프라임아카데미학원점,"경북 영덕군 영덕읍 중앙길 104 (남석리, 영덕군산림조합)"
820,288068,연제 창신초점,부산 연제구 여고로14번길 31 (거제동)
821,288069,연제 온천천쌍용예가점,"부산 연제구 세병로 68 (거제동, 온천천쌍용예가)"
822,288070,연제 연산한일유앤아이상가점,"부산 연제구 묘봉산로 4 (연산동, 연산동한일유앤아이아파트)"
823,288071,연제 연산자이C상가점,"부산 연제구 과정로343번길 43 (연산동, 연산 자이)"
824,288072,연제 연산연천초점,부산 연제구 과정로225번길 23 (연산동)
825,288073,연제 연산롯데캐슬점,부산 연제구 황령산로 615
826,288074,연제 연산LG1호점,"부산 연제구 고분로 200 (연산동, 연산엘지아파트)"
