,0,1,2
23,287271,화성 태안우미린점,경기 화성시 안녕동 산 7-205
24,287272,화성 태안우미린센트포레점,경기 화성시 장조4로 33
25,287273,화성 클라이 학원점,"경기 화성시 향남읍 향남로 392 (행정리, 우성메디피아)"
26,287274,화성 최강e해법셀파수학점,경기 화성시 동탄지성로 319-19 (기산동)
27,287275,화성 제일 풍경채점,"경기 화성시 동탄대로4가길 26 (장지동, 제일풍경채 에듀&파크)"
28,287276,화성 율목초점,"경기 화성시 동탄반석로 124 (반송동, 쎈타프라자)"
29,287277,화성 월드 나루점,경기 화성시 반송동 212
30,287278,화성 우방아이유쉘점,경기 화성시 기안동 373-4
31,287279,화성 우리 공부방점,"경기 화성시 동탄지성로 256 (기산동, 에스케이뷰파크2차)"
32,287280,화성 예원초점,"경기 화성시 동탄반석로 277 (석우동, 동탄예당마을 우미린제일풍경채)"
33,287281,화성 예당롯데캐슬점,"경기 화성시 동탄반석로 229 (석우동, 동탄 예당마을 롯데캐슬)"
34,287282,화성 안성비룡점,"경기 안성시 비룡로 26 (당왕동, 쌍용아파트(상가동))"
35,287283,화성 안성 만정초점,"경기 안성시 공도읍 송원길 64 (만정리, 안성공도금호어울림)"
36,287284,화성 안녕현대점,"경기 화성시 화산로 10 (안녕동, 남수원현대아파트)"
37,287285,화성 신일해피트리1점,"경기 화성시 효행로291번길 24 (기안동, 신일해피트리아파트)"
38,287286,화성 신봉담e편한해법공부방,"경기 화성시 봉담읍 상리1길 127 (상리, 이편한세상신봉담)"
39,287287,화성 신동탄 sk뷰점,"경기 화성시 동탄원천로 382-37 (반월동, 에스케이뷰파크)"
40,287288,화성 숲속모아점,"경기 화성시 동탄숲속로 96 (능동, 숲속마을모아미래도1단지아파트)"
41,287289,화성 송산한승점,"경기 화성시 화산중앙로 34 (송산동, 한승미메이드아파트)"
42,287290,화성 송산새솔점,경기 화성시 수노을중앙로 156 (새솔동)
43,287291,화성 송산대방점,경기 화성시 수노을1로 107 (새솔동)
44,287292,화성 송골 우남2차점,"경기 화성시 10용사로 286 (능동, 서동탄역 우남퍼스트빌 아파트)"
45,287293,화성 센트럴 힐즈점,"경기 화성시 효행로 1051 (진안동, 메인프라자)"
46,287294,화성 세정초점,"경기 화성시 동탄순환대로10길 88 (산척동, 레이크힐 반도유보라 아이비파크 10.2)"
47,287295,화성 서동탄역 파크자이1차점,"경기 화성시 서동탄로 53 (능동, 서동탄역파크자이)"
48,287296,화성 봉담초점,경기 화성시 봉담읍 매봉로 441 (상리)
49,287297,화성 봉담신창2단지점,"경기 화성시 봉담읍 수영로82번길 4 (수영리, 한울마을신창비바패밀리아파트)"
50,287298,화성 봉담신안점,경기 화성시 봉담읍 상리 21-2
51,287299,화성 봉담상봉점,"경기 화성시 봉담읍 동화새터길 55-39 (동화리, 동화마을 신동아파밀리에아파트)"
52,287300,화성 봉담 중심상가점,경기 화성시 봉담읍 동화길 91 (동화리)
53,287301,화성 병점 아이파크 캐슬점,경기 화성시 병점노을로 31
54,287302,화성 병점 송화초점,경기 화성시 병점동 490-2
55,287303,화성 병점 센터점,"경기 화성시 병점2로 30 (병점동, 명신프라자)"
56,287304,화성 병점 늘벗 신창점,"경기 화성시 병점1로 65 (병점동, 늘벗마을신창1차아파트)"
57,287305,화성 발안우림점,"경기 화성시 향남읍 발안남로 66 (발안리, 화성발안우림필유아파트)"
58,287306,화성 반정아이파크5단지점,경기 화성시 동탄지성로469번길 60
59,287307,화성 반정아이파크4단지점,"경기 화성시 반정로 184 (반정동, (주)인성)"
60,287308,화성 반월대림점,경기 화성시 반송동 23-1
61,287309,화성 반월e편한 세상점,"경기 화성시 효행로 1337-23 (반월동, e편한세상 신동탄)"
62,287310,화성 반월 포레자이점,경기 화성시 반월동 17
63,287311,화성 반월 롯데캐슬점,경기 화성시 효행로 1337-26
64,287312,화성 목동 베라체점,경기 화성시 동탄순환대로20길 13 (목동)
65,287313,화성 모아미래도점,경기 화성시 10용사로 349-13
66,287314,화성 동탄호수리더학원점,경기 화성시 동탄대로6길 29 (산척동)
67,287315,화성 동탄호반2차점,"경기 화성시 동탄순환대로22길 46 (청계동, 청계숲 사랑으로 부영)"
68,287316,화성 동탄한화점,경기 화성시 반송동 42-8
69,287317,화성 동탄포스코점,"경기 화성시 동탄대로시범길 19 (청계동, 동탄역 시범더샵 센트럴시티)"
70,287318,화성 동탄파크푸르지오점,"경기 화성시 동탄대로24가길 7 (영천동, 동탄 파크 푸르지오)"
71,287319,화성 동탄파크자이점,"경기 화성시 동탄대로24길 117 (영천동, 동탄파크자이)"
72,287320,화성 동탄카림점,경기 화성시 동탄순환대로 617
73,287321,화성 동탄자연앤데시앙점,"경기 화성시 동탄숲속로 68 (능동, 숲속마을자연앤데시앙아파트)"
74,287322,화성 동탄이지더원점,"경기 화성시 동탄원천로 315-33 (능동, 능동마을이지더원아파트)"
75,287323,화성 동탄역점,경기 화성시 동탄대로19길 10 (오산동)
76,287324,화성 동탄쌍용점,경기 화성시 반송동 솔빛마을쌍용스윗닷홈예가아파트 441-454
77,287325,화성 동탄반도10차점,"경기 화성시 동탄순환대로12길 85 (산척동, 그린힐 반도유보라 아이비파크 10)"
78,287326,화성 동탄롯데점,"경기 화성시 동탄순환대로21길 53 (청계동, 롯데캐슬 알바트로스)"
79,287327,화성 동탄대림점,"경기 화성시 동탄순환대로20길 31 (목동, e편한세상 동탄)"
